salloc -N 2 --ntasks-per-node=1

task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
 426  1566989656.43486905  1566989656.43487144  0.00000238
 427  1566989656.43487382  1566989656.43487620  0.00000238
 428  1566989656.43487835  1566989656.43488073  0.00000238
 429  1566989656.43488312  1566989656.43488574  0.00000262
 430  1566989656.43488812  1566989656.43489051  0.00000238
 431  1566989656.43489289  1566989656.43489528  0.00000238
 432  1566989656.43489742  1566989656.43490005  0.00000262
 433  1566989656.43490219  1566989656.43490481  0.00000262
 434  1566989656.43490720  1566989656.43490958  0.00000238
 435  1566989656.43491173  1566989656.43491435  0.00000262
 436  1566989656.43491650  1566989656.43491888  0.00000238
 437  1566989656.43492126  1566989656.43492365  0.00000238
 438  1566989656.43492579  1566989656.43492842  0.00000262
 439  1566989656.43493056  1566989656.43493295  0.00000238
 440  1566989656.43493533  1566989656.43493772  0.00000238
 441  1566989656.43494010  1566989656.43494248  0.00000238
 442  1566989656.43494487  1566989656.43494725  0.00000238
 443  1566989656.43494940  1566989656.43495202  0.00000262
 444  1566989656.43495417  1566989656.43495655  0.00000238
 445  1566989656.43495893  1566989656.43496132  0.00000238
 446  1566989656.43496370  1566989656.43496609  0.00000238
 447  1566989656.43496823  1566989656.43497086  0.00000262
 448  1566989656.43497300  1566989656.43497539  0.00000238
 449  1566989656.43497777  1566989656.43498039  0.00000262
 450  1566989656.43498254  1566989656.43498516  0.00000262
 451  1566989656.43498755  1566989656.43498993  0.00000238
 452  1566989656.43499207  1566989656.43499470  0.00000262
 453  1566989656.43499684  1566989656.43499923  0.00000238
 454  1566989656.43500161  1566989656.43500400  0.00000238
 455  1566989656.43500638  1566989656.43500876  0.00000238
 456  1566989656.43501091  1566989656.43501329  0.00000238
 457  1566989656.43501544  1566989656.43501806  0.00000262
 458  1566989656.43502021  1566989656.43502259  0.00000238
 459  1566989656.43502498  1566989656.43502736  0.00000238
 460  1566989656.43502975  1566989656.43503213  0.00000238
 461  1566989656.43503428  1566989656.43503690  0.00000262
 462  1566989656.43503904  1566989656.43504143  0.00000238
 463  1566989656.43504357  1566989656.43504620  0.00000262
 464  1566989656.43504834  1566989656.43505073  0.00000238
 465  1566989656.43505311  1566989656.43505549  0.00000238
 466  1566989656.43505788  1566989656.43506026  0.00000238
 467  1566989656.43506241  1566989656.43506479  0.00000238
 468  1566989656.43506718  1566989656.43506956  0.00000238
 469  1566989656.43507171  1566989656.43507433  0.00000262
 470  1566989656.43507648  1566989656.43507886  0.00000238
 471  1566989656.43508124  1566989656.43508363  0.00000238
 472  1566989656.43508577  1566989656.43508840  0.00000262
 473  1566989656.43509054  1566989656.43509316  0.00000262
 474  1566989656.43509531  1566989656.43509793  0.00000262
 475  1566989656.43510008  1566989656.43510270  0.00000262
 476  1566989656.43510485  1566989656.43510723  0.00000238
 477  1566989656.43510938  1566989656.43511200  0.00000262
 478  1566989656.43511415  1566989656.43511653  0.00000238
 479  1566989656.43511891  1566989656.43512130  0.00000238
 480  1566989656.43512368  1566989656.43512607  0.00000238
 481  1566989656.43512821  1566989656.43513107  0.00000286
 482  1566989656.43513322  1566989656.43513560  0.00000238
 483  1566989656.43513799  1566989656.43514037  0.00000238
 484  1566989656.43514490  1566989656.43514752  0.00000262
